Model,Accuracy,Precision,Recall,F1,ROC_AUC
LogisticRegression,0.7455968688845401,0.13793103448275862,0.8,0.23529411764705882,0.8436625514403292
RandomForest,0.9500978473581213,0.0,0.0,0.0,0.7790020576131687
